frequency,noun1,noun2
177,expert,advice
177,night,game
177,opposition,forces
177,city,employees
177,exchange,program
177,survey,questions
177,infrastructure,projects
177,surprise,attack
176,color,photographs
176,chip,cookies
176,safety,regulations
176,sale,price
176,city,schools
176,sea,creatures
176,winter,coat
176,student,government
176,practice,medicine
176,gut,feeling
176,research,funding
176,blood,levels
176,trade,center
176,research,paper
176,planning,stages
176,code,words
176,management,firm
176,job,right
176,root,cellar
176,exhibition,space
176,reform,process
176,satellite,images
176,computer,terminal
176,times,earnings
176,nerve,damage
176,murder,investigation
176,news,outlets
176,shareholder,value
176,bounty,hunter
176,funeral,service
176,dream,team
176,company,spokesman
176,commuter,train
176,executive,power
176,kitchen,chair
176,self,esteem
175,career,move
175,salad,bowl
175,bus,tour
175,field,tests
175,city,block
175,fish,stocks
175,investment,officer
175,consumer,price
175,student,services
175,student,evaluations
175,machine,shop
175,development,plan
175,crime,victims
175,life,histories
175,city,councilman
175,evening,gown
175,air,attacks
175,television,viewers
175,celebrity,status
175,fund,company
175,polling,stations
175,state,party
175,independence,movement
175,city,blocks
175,rehabilitation,programs
175,treaty,rights
175,growth,funds
175,wine,glass
175,estate,prices
175,film,maker
175,film,school
175,ransom,note
175,consumer,prices
175,voice,recorder
175,fish,farms
175,government,regulators
175,news,headlines
175,leather,bag
175,combat,zone
175,healthcare,reform
175,stress,test
175,industry,groups
175,beauty,contest
175,town,halls
174,studies,programs
174,muscle,tissue
174,malpractice,insurance
174,student,needs
174,shoulder,surgery
174,vacuum,cleaners
174,totem,pole
174,profit,motive
174,fashion,magazines
174,equity,funds
174,risk,reduction
174,teaspoon,cinnamon
174,industry,standard
174,growth,industry
174,leg,muscles
174,pool,hall
174,energy,expenditure
174,wireless,network
174,season,ticket
174,cutting,board
174,college,scholarship
174,service,users
174,land,mass
174,drug,overdose
174,office,towers
174,jury,system
174,lead,levels
174,paper,products
174,school,leaders
174,market,funds
174,medicine,ball
174,roller,coasters
174,language,learners
174,walk-in,closet
174,race,track
174,school,play
174,oil,lamp
174,baseball,stadium
174,brain,drain
174,control,freak
174,family,gatherings
174,performance,measures
174,labor,camp
174,advertising,executive
174,caste,system
173,shuttle,bus
173,traffic,accident
173,worship,service
173,supply,store
173,cashmere,sweater
173,car,windows
173,treatment,facility
173,assistant,secretary
173,research,groups
173,dairy,farmers
173,football,fans
173,alcohol,problems
173,lgobox,lgobox
173,sea,urchins
173,land,uses
173,plant,manager
173,part,owner
173,mathematics,anxiety
173,cake,pan
173,port,side
173,farming,community
173,pipe,dream
173,home,computers
173,entry,level
173,opportunity,cost
173,wedding,ceremony
173,energy,company
173,linseed,oil
173,heart,rates
173,sitting,president
173,play,area
173,silk,scarf
173,enemy,territory
173,rate,increases
173,bathroom,floor
173,business,deal
173,computer,scientists
173,wood,floors
173,subject,line
173,deputy,mayor
173,danger,zone
173,dust,storms
173,concert,halls
173,toilet,bowl
173,energy,system
173,home,visits
173,eye,sockets
172,world,system
172,policy,development
172,chocolate,mousse
172,assistance,program
172,office,tower
172,mountain,road
172,fax,machines
172,grocery,bag
172,college,athletes
172,folk,song
172,assembly,plant
172,hearing,room
172,college,scholarships
172,work,services
172,film,makers
172,oil,shale
172,income,inequality
172,television,commercial
172,back,cover
172,weapons,inspector
172,neighborhood,kids
172,trouble,sleeping
172,forest,fire
172,government,service
172,baby,carrots
172,ice,pack
172,shoulder,blade
172,quantum,leap
172,building,boom
172,insurance,system
172,college,coach
172,business,management
172,trump,card
172,city,bus
172,home,centers
172,missile,attacks
172,jazz,band
172,plea,agreement
172,cruciate,ligament
172,press,room
172,labor,standards
171,bank,teller
171,tablespoon,sugar
171,file,cabinets
171,intelligence,agents
171,hospital,gown
171,water,fountain
171,job,back
171,card,numbers
171,heart,health
171,fly,ball
171,chocolate,bar
171,hand,signals
171,state,sovereignty
171,interaction,effects
171,cooking,water
171,studio,apartment
171,health-care,providers
171,learning,needs
171,parking,tickets
171,math,skills
171,hormone,therapy
171,price,tags
171,entertainment,value
171,cargo,ship
171,hospital,care
171,utility,company
171,fire,pit
171,policy,choices
171,bath,water
171,stress,hormones
171,pie,crust
171,storage,tank
171,teaching,career
171,career,opportunities
171,computer,files
171,household,items
170,laser,light
170,panic,attack
170,oil,wealth
170,quota,system
170,manufacturing,plants
170,power,stations
170,state,regulators
170,child,soldiers
170,community,standards
170,gun,battle
170,denim,jacket
170,mountain,bikers
170,housing,developments
170,youth,violence
170,hate,mail
170,preparation,program
170,sacrifice,fly
170,committee,meeting
170,university,student
170,rap,sheet
170,work,boots
170,discount,stores
170,research,purposes
170,education,profession
170,labor,dispute
170,telephone,survey
170,salad,bar
170,cocktail,dress
170,talent,show
169,eye,color
169,freestyle,relay
169,community,organizer
169,marketing,strategies
169,plate,tectonics
169,outreach,program
169,teaching,assistant
169,performance,feedback
169,engineering,students
169,deputy,editor
169,entry,fee
169,language,learning
169,percent,pay
169,relations,director
169,force,structure
169,pro,forma
169,altar,boy
169,school,shootings
169,energy,plan
169,office,staff
169,troop,levels
169,spring,morning
169,summer,program
169,news,services
169,muscle,fibers
169,relations,firm
169,survey,research
169,baseball,fan
169,credit,score
169,reform,proposals
169,union,officials
169,oat,bran
169,school,cafeteria
169,pet,food
169,east,end
169,crime,statistics
169,cult,members
169,tape,recording
169,ice,chest
169,oil,boom
169,bell,rings
169,hydrogen,bomb
169,body,shape
169,satellite,imagery
168,school,enrollment
168,horror,story
168,milk,chocolate
168,flank,steak
168,pant,leg
168,corner,table
168,record,levels
168,cookie,cutter
168,vote,count
168,group,size
168,school,classes
168,elite,group
168,life,jackets
168,insurance,business
168,temperature,range
168,morning,news
168,adult,world
168,school,nurse
168,wine,bottle
168,rap,group
168,time,scales
168,hospital,stays
168,eyewitness,accounts
168,village,life
168,flu,season
168,desktop,computer
168,air,defenses
168,burial,ground
168,student,responses
168,seat,back
168,border,guards
168,newspaper,editors
168,climate,control
168,administration,policy
168,lead,poisoning
168,on-base,percentage
168,university,campuses
168,family,dog
168,briefing,room
168,investment,adviser
168,church,choir
168,cash,cow
168,baby,steps
168,advocacy,organization
168,pit,stop
168,job,applicants
168,coal,miner
167,town,council
167,film,production
167,population,explosion
167,accounting,firms
167,percent,return
167,brain,stem
167,land,tenure
167,system,design
167,studies,education
167,mountain,man
167,feedback,loop
167,heavyweight,title
167,jury,box
167,faith,community
167,bank,failures
167,character,actor
167,shooting,guard
167,road,race
167,care,benefits
167,service,companies
167,safety,issue
167,point,guards
167,pepper,cup
167,mountain,peaks
167,air,forces
167,sports,team
167,watercolor,paper
167,grill,lid
167,cinnamon,stick
167,control,tower
167,site,evaluation
167,country,boy
167,garbage,collection
167,wind,farm
167,investment,tax
167,role,conflict
167,water,pressure
167,life,changes
167,passer,rating
167,ground,cloves
167,mining,company
167,general,manager
167,art,teachers
167,panel,members
166,career,success
166,fashion,world
166,staff,director
166,winter,storm
166,media,circus
166,manufacturing,company
166,bell,tower
166,health,crisis
166,lunch,counter
166,heroin,addict
166,shopping,carts
166,history,book
166,tweed,jacket
166,kid,brother
166,corner,store
166,hand,back
166,marketing,consultant
166,school,funding
166,democracy,movement
166,service,provision
166,trade,deficits
166,system,work
166,air,fare
166,party,chairman
166,battle,cry
166,ankle,injury
166,stress,level
166,club,soda
166,tin,cans
166,development,strategy
166,end,point
166,per,cent
166,absentee,ballot
166,study,design
166,campaign,chairman
166,artichoke,hearts
166,hostage,situation
166,soccer,practice
166,border,crossings
166,kidney,transplant
166,policy,analysis
166,dance,hall
166,star,cluster
165,glass,bowl
165,course,offerings
165,news,broadcast
165,half,brother
165,video,screens
165,wastewater,treatment
165,music,learning
165,base,price
165,funds,rate
165,street,lamps
165,chili,peppers
165,screening,process
165,police,academy
165,risk,behavior
165,music,history
165,fitness,level
165,wire,services
165,percent,fat
165,time,limits
165,sales,rep
165,earth,tones
165,investment,strategist
165,body,shop
165,pita,bread
165,assembly,plants
165,dump,truck
165,fraud,charges
165,cruise,missile
165,manufacturing,processes
165,documentary,evidence
165,water,pipes
165,recovery,process
165,bok,choy
165,campaign,headquarters
165,group,member
165,ad,campaigns
165,tax,hikes
165,ski,resorts
165,lounge,chair
165,health,treatment
165,leather,belt
164,community,agencies
164,visitation,rights
164,plant,material
164,alarm,bells
164,security,firm
164,term,paper
164,buffet,table
164,control,laws
164,company,commander
164,wilderness,area
164,restaurant,owner
164,music,fans
164,police,chiefs
164,forest,canopy
164,beauty,salon
164,variety,show
164,library,books
164,swim,platform
164,shop,windows
164,price,stability
164,registration,fee
164,deputy,attorney
164,clothing,line
164,family,friends
164,news,accounts
164,irrigation,system
164,machine,tools
164,teacher,certification
164,percent,success
164,radio,broadcast
164,health,practitioners
164,road,rage
164,food,coloring
164,shopping,trip
164,energy,systems
164,rallying,point
164,time,being
164,binge,drinking
164,costume,jewelry
164,bowl,games
164,character,traits
164,bar,code
164,food,labels
164,road,signs
163,reality,shows
163,immigration,bill
163,quality,management
163,dish,towel
163,traffic,accidents
163,participation,rates
163,reform,agenda
163,land,prices
163,disk,drive
163,sex,trade
163,street,life
163,reform,effort
163,government,spokesman
163,safety,problems
163,chain,stores
163,restaurant,chain
163,hair,salon
163,family,responsibilities
163,police,cruiser
163,anxiety,disorder
163,hospice,care
163,youth,groups
163,rape,case
163,extension,cord
163,iron,ore
163,business,plans
163,game,warden
163,study,author
163,lunch,time
163,brick,buildings
163,education,levels
163,street,children
163,tablespoon,lemon
163,safety,rules
163,conference,rooms
163,pinto,beans
163,health,insurers
163,government,building
163,media,frenzy
163,banking,firm
163,ear,infection
163,conservation,measures
163,leather,seats
163,water,glass
163,management,positions
163,surveillance,system
162,gas,turbines
162,night,school
162,women,artists
162,field,study
162,skin,tones
162,construction,jobs
162,writing,desk
162,worship,services
162,cement,floor
162,circuit,boards
162,material,support
162,education,faculty
162,silk,blouse
162,air,circulation
162,peace,initiative
162,adult,males
162,policy,director
162,ozone,hole
162,job,offers
162,conference,tournament
162,television,industry
162,tax,purposes
162,holiday,party
162,program,coordinator
162,shutter,speed
162,chain,saws
162,band,director
162,treatment,centers
162,lift,tickets
162,welfare,mothers
161,rights,abuses
161,state,taxes
161,government,bureaucracy
161,diabetes,mellitus
161,car,salesman
161,journal,entry
161,index,cards
161,deputy,sheriff
161,granulation,tissue
161,haute,couture
161,summer,morning
161,suicide,rate
161,corruption,charges
161,business,processes
161,business,relationship
161,cheese,sandwich
161,visitors,center
161,speech,rights
161,rebel,groups
161,fish,populations
161,car,buyers
161,bomb,attack
161,appropriations,bills
161,tank,tops
161,end,game
161,farm,boy
161,sun,damage
161,surveillance,camera
161,rental,cars
161,graduate,studies
161,cup,buttermilk
161,fishing,grounds
161,state,workers
161,entry,point
161,beef,broth
161,grad,students
161,disability,insurance
161,crime,family
161,league,record
161,home,mortgage
161,health-care,workers
161,peer,relationships
161,percent,rise
161,dresser,drawer
161,estate,development
161,image,problem
161,ice,storm
161,assessment,tool
161,crime,prevention
160,athletics,director
160,times,people
160,education,course
160,cable,system
160,film,noir
160,crime,problem
160,computer,keyboard
160,pit,bulls
160,time,interval
160,silver,medalist
160,emergency,care
160,state,board
160,computer,makers
160,table,tennis
160,support,networks
160,fait,accompli
160,sounding,board
160,pan,juices
160,telephone,conversations
160,hair,cut
160,street,gang
160,team,president
160,tomato,slices
160,silk,shirt
160,calcium,carbonate
160,beauty,pageant
160,neighborhood,schools
160,rescue,operation
160,graduate,education
160,advertising,revenue
160,dumping,ground
160,cash,value
160,body,bag
159,rights,record
159,trash,bag
159,mission,control
159,parenting,styles
159,electricity,prices
159,care,systems
159,lunch,program
159,almond,extract
159,maintenance,costs
159,terra,cotta
159,southwest,corner
159,sex,industry
159,supply,side
159,computer,use
159,job,interviews
159,homicide,rate
159,telecommunications,industry
159,home,schooling
159,confidence,level
159,exchange,student
159,ghost,stories
159,college,athletics
159,kitchen,knife
159,court,hearing
159,book,stores
159,health,threat
159,agency,officials
159,disaster,area
159,concession,stand
159,care,physician
159,bone,health
159,lawn,mowers
159,symphony,orchestra
159,movie,screen
159,power,structures
158,home,entertainment
158,executive,assistant
158,summer,house
158,emergency,situation
158,design,features
158,class,discussions
158,policy,process
158,suit,coat
158,classroom,teaching
158,starting,rotation
158,pitching,coach
158,camera,videotape
158,art,criticism
158,fennel,seeds
158,umbrella,organization
158,sun,protection
158,metal,plate
158,lip,balm
158,storage,facility
158,chocolate,mixture
158,cream,sauce
158,trade,issues
158,crossword,puzzles
158,silk,tie
158,peace,accords
158,welfare,program
158,development,aid
158,state,apparatus
158,bargaining,chip
158,construction,costs
158,fence,posts
158,murder,victim
158,photo,shoot
158,kidney,stones
158,silk,dress
158,fighter,jet
158,tech,companies
158,floor,plans
157,beauty,products
157,women,workers
157,toll,road
157,group,dynamics
157,mining,industry
157,investor,confidence
157,police,radio
157,mea,culpa
157,teaching,position
157,target,area
157,hospital,stay
157,casserole,dish
157,control,variables
157,fiction,writers
157,music,store
157,motion,sickness
157,research,labs
157,business,end
157,nerve,center
157,basketball,season
157,school,yard
157,store,clerk
157,church,building
157,anxiety,disorders
157,minority,faculty
157,group,leader
157,stomach,cancer
157,infection,rates
157,thinking,styles
157,glass,bottles
157,fire,hydrant
157,ethanol,production
157,brain,chemistry
157,stumbling,blocks
157,interview,data
157,block,letters
157,ocean,liner
157,laboratory,experiments
157,percent,jump
157,excise,taxes
157,lead,author
157,nitrogen,oxide
157,laser,printer
157,cleaning,woman
157,gold,watch
157,honey,bees
156,spelling,bee
156,gold,mines
156,market,place
156,back,yards
156,dust,devils
156,mother,ship
156,hill,country
156,welfare,bill
156,flower,shop
156,particulate,matter
156,heat,exchanger
156,gender,discrimination
156,string,quartet
156,land,managers
156,oil,refinery
156,service,organizations
156,costume,designer
156,linoleum,floor
156,punch,bowl
156,cruise,line
156,test,tubes
156,guest,speakers
156,state,sector
156,staff,attorney
156,school,experience
156,drill,sergeant
156,reading,fluency
156,campaign,ads
156,radiation,exposure
156,tissue,samples
156,feasibility,study
156,steel,band
156,cattle,ranch
156,shock,absorbers
156,radio,telescopes
156,piggy,bank
156,conservation,programs
156,recreation,center
156,fire,alarm
156,flower,bed
156,tissue,damage
156,percent,support
156,detective,story
156,advance,directives
156,classroom,behavior
156,swim,team
156,morning,sky
156,serving,plate
156,product,quality
156,lift,ticket
156,police,protection
155,rice,paper
155,oil,consumption
155,tee,shirt
155,funeral,homes
155,hate,speech
155,power,consumption
155,bench,seat
155,auto,repair
155,wrestling,match
155,stun,gun
155,magnet,school
155,oven,rack
155,north,shore
155,timber,companies
155,case,histories
155,elevator,door
155,bone,structure
155,massage,therapist
155,water,pump
155,fertility,rate
155,talent,pool
155,prison,guard
155,operations,center
155,relay,team
155,touch,screen
155,staff,writers
155,wheat,fields
155,software,industry
155,affairs,correspondent
155,development,opportunities
155,class,members
155,creme,fraiche
155,movie,studios
155,education,settings
155,league,teams
155,stress,reduction
155,group,participants
155,inclement,weather
155,breathing,room
155,teaching,style
155,crawl,space
155,herb,garden
155,couch,potato
155,record,deal
155,hit,movie
155,mother,lode
155,root,vegetables
155,space,science
155,funding,agencies
155,concert,pianist
154,performance,artist
154,school,curricula
154,industry,average
154,cord,injuries
154,mug,shot
154,troop,movements
154,system,performance
154,technology,company
154,latex,gloves
154,line,drive
154,service,industries
154,government,documents
154,family,dynamics
154,bike,shop
154,wildlife,refuges
154,career,woman
154,diet,pills
154,battalion,commander
154,performance,levels
154,service,center
154,track,coach
154,dog,owners
154,work,schedules
154,abortion,debate
154,identification,number
154,entry,hall
154,storage,facilities
154,row,inmates
154,sex,scenes
154,solo,exhibition
154,side,yard
154,wine,industry
154,farm,equipment
153,budget,bill
153,adjustment,programs
153,interview,process
153,beach,volleyball
153,staff,meetings
153,cassette,player
153,candy,canes
153,campaign,season
153,impact,statement
153,field,trials
153,home,economics
153,insurance,fund
153,poppy,seeds
153,capital,spending
153,gasoline,engine
153,rights,lawyer
153,teachers,union
153,character,assassination
153,marketing,tool
153,rank,order
153,language,barriers
153,selection,criteria
153,beauty,shop
153,player,personnel
153,sound,card
153,reliability,coefficient
153,cooking,liquid
153,research,facilities
153,policy,options
153,polka,dots
153,window,ledge
153,family,systems
153,state,regulation
153,planning,services
153,performance,data
153,pie,pan
153,health,providers
153,tour,buses
153,starboard,side
153,arts,groups
153,student,attitudes
153,recovery,time
153,glass,jar
153,audit,committee
153,heat,waves
153,work,life
153,field,hospital
153,numbers,game
152,cuff,links
152,car,doors
152,drug,cartel
152,drug,laws
152,life,spans
152,business,consultant
152,jet,stream
152,dust,storm
152,liberation,movement
152,bubble,bath
152,mustard,seeds
152,adoption,agency
152,tuna,fish
152,bathroom,sink
152,pass,rusher
152,bank,loan
152,basketball,operations
152,attack,ads
152,flu,shot
152,stock,exchanges
152,deputy,commissioner
152,cobblestone,streets
152,home,opener
152,company,executive
152,travel,industry
152,bean,curd
152,chaos,theory
152,test,ban
152,flight,plan
152,rating,scales
152,tour,guides
152,record,book
152,observation,deck
152,electricity,generation
152,color,line
152,role,reversal
152,escape,routes
152,cancer,prevention
152,body,odor
152,business,models
152,policy,experts
152,sociology,professor
152,ethics,rules
152,technology,development
152,public,schools
151,school,construction
151,police,agencies
151,oven,door
151,butcher,knife
151,strategy,use
151,ventilation,system
151,class,president
151,gas,exploration
151,curry,favor
151,service,system
151,standing,position
151,word,processors
151,price,discrimination
151,industry,representatives
151,consumer,advocate
151,graduation,ceremony
151,apple,slices
151,government,report
151,team,building
151,porch,swing
151,time,warp
151,department,chair
151,trial,date
151,age,differences
151,morning,sickness
151,index,fund
151,point,averages
151,water,content
151,gas,company
151,cilantro,leaves
151,card,games
151,business,suits
151,go-to,guy
151,college,course
151,dance,education
151,college,attendance
151,law,partner
151,action,hero
151,fire,protection
151,aid,groups
151,disease,process
151,brain,waves
151,bar,stool
151,object,lesson
151,cookie,dough
150,office,equipment
150,tree,stump
150,evening,hours
150,smallmouth,bass
150,budget,problems
150,make,sense
150,childhood,cancer
150,consumer,group
150,church,history
150,cargo,hold
150,climate,system
150,card,issuers
150,computer,companies
150,window,frames
150,job,prospects
150,root,canal
150,credit,crisis
150,data,files
150,plane,tickets
150,industry,leader
150,cargo,plane
150,flour,cup
150,phone,message
150,insanity,defense
150,contingency,plan
150,scale,model
150,pressure,groups
150,airline,ticket
150,life,tenure
150,shelf,space
150,research,data
150,cocktail,hour
150,emergency,medicine
150,tea,leaves
150,study,results
150,carriage,house
149,anniversary,celebration
149,wood,products
149,peer,support
149,judgment,call
149,star,player
149,reader,service
149,methane,gas
149,work,profession
149,media,literacy
149,health,questions
149,rental,property
149,marriage,license
149,export,market
149,child,safety
149,folk,hero
149,intervention,services
149,slave,owners
149,training,courses
149,insurance,benefits
149,air,currents
149,desert,floor
149,child,health
149,test,drive
149,cigar,smoke
149,trade,war
149,titanium,white
149,murder,victims
149,battle,flag
149,horror,movies
149,shirt,collar
149,basket,case
149,tree,stand
149,time,frames
149,iron,bars
149,oil,refineries
149,scoring,system
149,response,rates
149,power,sources
149,research,methodology
149,yoga,class
149,shock,therapy
149,cell,membranes
149,loan,officer
149,seating,area
149,practice,facility
149,show,biz
149,steel,frame
149,education,funding
149,war,crime
149,price,level
148,ocean,currents
148,energy,supplies
148,cholesterol,level
148,track,records
148,turkey,hunting
148,engineering,education
148,management,services
148,tape,deck
148,job,placement
148,insurance,reform
148,hip,replacement
148,forest,land
148,television,advertising
148,airline,pilot
148,ice,rink
148,methods,course
148,oil,slick
148,state,history
148,newspaper,columnist
148,committee,meetings
148,bone,mineral
148,copyright,law
148,record,stores
148,student,group
148,crimes,tribunal
148,home,heating
148,efficiency,gains
148,water,purification
148,student,movement
148,string,beans
148,baseball,coach
148,desktop,publishing
148,test,pilot
148,ability,level
148,fir,trees
148,nurse,practitioners
148,bedtime,story
148,gift,cards
148,solo,show
148,pregnancy,test
148,teaching,styles
148,research,lab
148,parent,training
148,rock,bands
148,parent,education
148,government,aid
148,coup,leaders
148,consumer,product
148,shop,window
148,newspaper,headlines
148,stock,index
148,time,pressure
148,news,channel
148,picket,lines
148,women,friends
148,mitigation,banking
147,component,parts
147,fast-food,restaurant
147,singing,voice
147,art,classes
147,plastic,sheeting
147,bowl,game
147,grade,teacher
147,cancer,rates
147,interception,return
147,world,headquarters
147,student,perceptions
147,protection,program
147,deposit,box
147,battleground,states
147,greeting,card
147,household,products
147,onion,mixture
147,life,lessons
147,reading,list
147,jury,verdict
147,campaign,staff
147,teaching,staff
147,medley,relay
147,halftime,lead
147,warning,labels
147,boom,generation
147,disease,management
147,gallery,owner
147,growth,factor
147,enterprise,zones
147,employment,discrimination
147,exchange,programs
147,muscle,cells
147,picnic,basket
147,refugee,problem
147,lung,function
147,sniper,fire
147,engineering,department
147,graduate,work
147,laundry,detergent
147,recovery,efforts
147,vacation,homes
147,gift,certificates
147,bluefin,tuna
147,road,trips
147,glass,walls
147,gold,coins
147,way,station
147,trade,representative
147,cleaning,lady
147,personnel,director
147,spring,season
147,bunk,beds
147,mind,control
147,energy,markets
147,fashion,model
147,movement,patterns
147,fever,pitch
147,car,insurance
147,wood,paneling
147,screening,room
147,salad,dressings
146,welfare,payments
146,government,relations
146,fire,ant
146,safety,measures
146,generation,gap
146,housing,stock
146,scholarship,fund
146,couch,potatoes
146,distribution,centers
146,community,needs
146,cowboy,hats
146,southeast,corner
146,head,count
146,tour,group
146,park,officials
146,soul,food
146,college,roommate
146,shuttle,program
146,family,involvement
146,field,test
146,blood,lead
146,college,entrance
146,resource,center
146,paper,napkin
146,reading,level
146,leadership,team
146,team,leaders
146,blame,game
146,state,lawmakers
146,body,fluids
146,phone,bills
146,community,activities
146,street,kids
146,cancer,screening
146,wire,service
146,profit,growth
146,fruit,juices
146,book,reviews
146,shop,owners
146,paper,clip
146,confirmation,hearing
146,reform,law
146,investment,company
146,prayer,service
146,court,judges
146,alpha,coefficient
146,research,activities
146,recording,artist
146,college,freshman
146,communications,equipment
146,training,room
146,soil,surface
146,night,life
146,search,committee
146,back,stairs
145,getaway,car
145,country,people
145,golf,swing
145,door,swings
145,cell,membrane
145,union,leader
145,work,stoppage
145,starting,gate
145,microwave,ovens
145,color,palette
145,cotton,dress
145,concert,tour
145,graduate,degrees
145,teaching,practices
145,newspaper,column
145,iron,fist
145,state,flag
145,community,activists
145,witness,list
145,gang,activity
145,goal,percentage
145,education,classroom
145,school,levels
145,family,violence
145,fund,industry
145,prayer,book
145,cream,cone
145,business,investment
145,animal,behavior
145,shopping,district
145,alpha,coefficients
145,service,announcements
145,speed,limits
145,temperature,changes
145,video,tape
145,investment,portfolio
145,muscle,group
145,law,clerks
145,conflict,management
145,opening,statements
145,union,workers
145,action,movie
145,battle,plan
145,law-enforcement,officials
145,ice,cap
145,poverty,reduction
145,school,dropouts
145,income,families
145,radio,programs
145,fur,coats
145,fishing,pressure
145,cabin,door
145,tree,roots
145,insurance,market
145,test,data
145,display,cases
145,decision,process
145,protest,movement
144,ground,game
144,doctor,visits
144,grill,pan
144,cell,door
144,chess,game
144,tablespoons,oil
144,station,house
144,salt,marsh
144,testing,ground
144,university,campus
144,flu,virus
144,tax,collector
144,surface,temperatures
144,creek,bed
144,tunnel,vision
144,voter,fraud
144,milk,mixture
144,student,enrollment
144,trade,shows
144,boat,owners
144,college,players
144,disk,space
144,ballet,dancer
144,kind,of-
144,sports,section
144,oil,rig
144,food,distribution
144,flag,football
144,cup,lemon
144,cup,whole
144,missile,technology
144,time,commitment
144,achievement,scores
144,cost,overruns
144,infant,daughter
144,con,artists
144,teaching,skills
144,shoulder,height
144,bedroom,wall
144,estate,business
144,money,order
144,telecommunications,company
144,county,sheriff
144,beauty,parlor
144,weapons,inspections
144,prisoner,abuse
144,safety,valve
144,pennant,race
144,policy,decision
144,communications,systems
144,cash,crop
144,data,compression
144,response,times
144,treatment,system
144,investment,firms
144,auction,houses
144,state,insurance
143,heat,loss
143,reality,series
143,information,markets
143,residence,hall
143,booby,traps
143,management,consulting
143,tax,forms
143,video,monitor
143,student,motivation
143,school,friend
143,college,transfer
143,bighorn,sheep
143,plant,communities
143,cumin,seeds
143,communications,technology
143,math,problems
143,west,bank
143,artillery,pieces
143,soccer,teams
143,personnel,decisions
143,policy,analysts
143,community,organization
143,battery,power
143,thyme,sprigs
143,museum,collections
143,state,visit
143,college,savings
143,force,field
143,feet,hip-width
143,coal,industry
143,telltale,signs
143,accretion,disk
143,fitness,levels
143,cookie,jar
143,sea,life
143,prevention,strategies
143,e-mail,addresses
143,science,project
143,income,groups
143,productivity,gains
143,research,company
142,oil,cup
142,market,demand
142,water,bath
142,emission,reductions
142,salt,cup
142,terror,suspects
142,police,spokesman
142,laser,surgery
142,weather,report
142,hunting,pressure
142,freelance,journalist
142,replacement,parts
142,disclosure,requirements
142,domain,name
142,people,thought
142,music,theory
142,conspiracy,theorists
142,poll,results
142,tunnel,syndrome
142,press,freedom
142,way,women
142,store,chain
142,ironing,board
142,budget,resolution
142,video,stores
142,gas,chambers
142,business,acumen
142,attitude,change
142,consumption,patterns
142,school,classroom
142,minority,community
142,music,lovers
142,management,plans
142,track,star
142,car,dealerships
142,food,editor
142,world,religions
142,school,success
142,insect,pests
142,people,age
142,mortgage,loans
142,opening,line
142,trouble,breathing
142,school,boys
142,operating,procedure
142,computer,terminals
142,bike,lanes
142,capital,goods
142,school,uniform
142,creature,comforts
142,hyperactivity,disorder
142,bed,sheets
142,clay,pots
142,office,furniture
142,emissions,reductions
142,market,failure
142,intelligence,tests
142,distribution,systems
142,university,officials
142,lightning,speed
142,family,connections
142,school,property
142,tax,records
142,dirt,track
142,investment,capital
141,army,troops
141,data,set
141,video,images
141,defense,table
141,rate,hikes
141,missionary,work
141,oil,lamps
141,percent,gain
141,bike,paths
141,activist,group
141,brass,band
141,science,adviser
141,research,effort
141,development,company
141,career,advancement
141,creme,brulee
141,coal,plants
141,gangsta,rap
141,cake,flour
141,retirement,funds
141,school,experiences
141,life,raft
141,fighter,aircraft
141,con,el
141,water,lilies
141,prep,time
141,hotel,bar
141,capital,firm
141,state,average
141,equity,fund
141,teaching,tool
141,peat,moss
141,blood,alcohol
141,block,grants
141,development,strategies
141,railroad,track
141,oil,money
141,art,student
141,recovery,program
141,nose,job
141,home,market
141,funeral,home
141,impulse,control
141,auto,sales
141,capital,costs
141,barrier,island
140,campus,police
140,personnel,preparation
140,school,career
140,platoon,leader
140,business,organizations
140,country,home
140,world,champions
140,immunodeficiency,virus
140,assessment,instruments
140,south,coast
140,potato,mixture
140,stage,name
140,truck,bed
140,glucose,levels
140,marketing,department
140,ground,coriander
140,crew,cut
140,silver,tray
140,school,grades
140,car,engine
140,gas,companies
140,pulse,rate
140,slumber,party
140,action,program
140,tax,savings
140,state,support
140,power,system
140,park,visitors
140,rice,pudding
140,housing,complex
140,work,group
140,deer,hunters
140,service,projects
140,alpha,male
140,securities,industry
140,water,damage
140,school,players
140,policy,questions
140,ballot,measure
140,severance,pay
140,pay,dirt
140,whooping,cough
140,budget,shortfall
140,gun,barrel
140,paper,clips
140,garbage,disposal
140,withdrawal,symptoms
140,yard,work
140,board,president
140,accounting,information
140,animal,shelter
140,lifetime,achievement
139,kitchen,towel
139,porn,star
139,communication,systems
139,student,retention
139,laboratory,studies
139,impeachment,proceedings
139,galaxy,clusters
139,championship,games
139,women,students
139,gas,giant
139,pineapple,juice
139,credit,reports
139,bargain,prices
139,stepping,stone
139,game,time
139,selling,price
139,tent,city
139,pastry,blender
139,lake,water
139,teaspoon,garlic
139,government,agents
139,night,sweats
139,communications,system
139,birth,mothers
139,reading,room
139,systems,theory
139,book,sales
139,jet,fighters
139,death,wish
139,number,sense
139,metro,areas
139,league,play
139,bona,fides
139,war,correspondent
139,support,programs
139,fertility,drugs
139,development,director
139,bank,robber
139,home,use
139,member,state
